Place,State,District,Category,Activities,Budget,Duration_Suitability,Description,Image,Map_Link,Latitude,Longitude,Review,Rating,Combined_Features,Price_Day
Agra,Heritage,Monument Tour, Construction History, Photography,Medium,1 day,Discover the beauty of Agra.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Agra,27.1752554,78.0098161,A lovely destination. Agra has so much to offer.,4.7, Construction History  Photography Medium Heritage Discover the beauty of Agra. A lovely destination. Agra has so much to offer.,5500
Delhi,Heritage,Architecture, Light show, History,Medium,1 day,Discover the beauty of Delhi.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Delhi,28.6138954,77.2090057,Delhi exceeded our expectations. Will definitely visit again!,4.8, Light show  History Medium Heritage Discover the beauty of Delhi. Delhi exceeded our expectations. Will definitely visit again!,5500
Amritsar,Spiritual,Temple visit, Langar, Lake walk,Low,1-2 days,Discover the beauty of Amritsar.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Amritsar,31.6356659,74.8787496,"Great food, great people, and amazing sights at Amritsar.",4.8," Langar  Lake walk Low Spiritual Discover the beauty of Amritsar. Great food, great people, and amazing sights at Amritsar.",2500
Jaipur,Heritage,Elephant ride, Fort view, Photography,Medium,1 day,Discover the beauty of Jaipur.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Jaipur,26.9154576,75.8189817,Jaipur exceeded our expectations. Will definitely visit again!,4.7, Fort view  Photography Medium Heritage Discover the beauty of Jaipur. Jaipur exceeded our expectations. Will definitely visit again!,5500
Jaipur,Heritage,Photography, Architecture walk, Market shopping,Medium,1 day,Discover the beauty of Jaipur.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Jaipur,26.9154576,75.8189817,"Great food, great people, and amazing sights at Jaipur.",4.2," Architecture walk  Market shopping Medium Heritage Discover the beauty of Jaipur. Great food, great people, and amazing sights at Jaipur.",5500
Delhi,Heritage,Garden walk, History, Photography,Low,1 day,Discover the beauty of Delhi.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Delhi,28.6138954,77.2090057,"Great food, great people, and amazing sights at Delhi.",5.0," History  Photography Low Heritage Discover the beauty of Delhi. Great food, great people, and amazing sights at Delhi.",2500
Delhi,Heritage,Complex tour, Photography, History,Low,1 day,Discover the beauty of Delhi.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Delhi,28.6138954,77.2090057,Delhi exceeded our expectations. Will definitely visit again!,4.8, Photography  History Low Heritage Discover the beauty of Delhi. Delhi exceeded our expectations. Will definitely visit again!,2500
Mysore,Heritage,Palace illumination, Museum, Culture,Medium,1-2 days,Discover the beauty of Mysore.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Mysore,12.3051828,76.6553609,Mysore exceeded our expectations. Will definitely visit again!,4.8, Museum  Culture Medium Heritage Discover the beauty of Mysore. Mysore exceeded our expectations. Will definitely visit again!,5500
Delhi,Heritage,Evening walk, Picnic, Photography,Low,1 day,Discover the beauty of Delhi.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Delhi,28.6138954,77.2090057,A lovely destination. Delhi has so much to offer.,4.2, Picnic  Photography Low Heritage Discover the beauty of Delhi. A lovely destination. Delhi has so much to offer.,2500
North Goa,Heritage,History, Sea view, Lighthouse,Low,1 day,Discover the beauty of North Goa.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=North%20Goa,15.6044413,74.0017241,A lovely destination. North Goa has so much to offer.,4.5, Sea view  Lighthouse Low Heritage Discover the beauty of North Goa. A lovely destination. North Goa has so much to offer.,2500
Mumbai City,Heritage,Sea view, Ferry ride, Photography,High,1 day,Discover the beauty of Mumbai City.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Mumbai%20City,18.9723889,72.8258988,Mumbai City exceeded our expectations. Will definitely visit again!,4.7, Ferry ride  Photography High Heritage Discover the beauty of Mumbai City. Mumbai City exceeded our expectations. Will definitely visit again!,12000
Jodhpur,Heritage,Museum, Viewpoint, Ziplining,Medium,1-2 days,Discover the beauty of Jodhpur.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Jodhpur,26.2967719,73.0351433,A lovely destination. Jodhpur has so much to offer.,4.8, Viewpoint  Ziplining Medium Heritage Discover the beauty of Jodhpur. A lovely destination. Jodhpur has so much to offer.,5500
Madurai,Spiritual,Temple visit, Architecture, Culture,Low,1-2 days,Discover the beauty of Madurai.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Madurai,9.9261153,78.1140983,A lovely destination. Madurai has so much to offer.,4.5, Architecture  Culture Low Spiritual Discover the beauty of Madurai. A lovely destination. Madurai has so much to offer.,2500
Narmada,Heritage,Statue tour, Museum, Valley of Flowers,Medium,1 day,Discover the beauty of Narmada.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Narmada,22.6694223,77.5687122,"Great food, great people, and amazing sights at Narmada.",4.8," Museum  Valley of Flowers Medium Heritage Discover the beauty of Narmada. Great food, great people, and amazing sights at Narmada.",5500
