Place,State,District,Tags,Budget,Price_Day,Region,Description,Image,Map_Link,Content
Ooty,Tamil Nadu,Nilgiris,"Hill Station, Nature, Mountains, Tea Gardens",Medium,5000,South India,"Discover the beauty of Ooty in Nilgiris, Tamil Nadu. A perfect spot for Hill Station, Nature, Mountains, Tea Gardens.",https://picsum.photos/seed/Ooty/800/500,https://www.google.com/maps/search/?api=1&query=Ooty+Tamil Nadu,"hill station, nature, mountains, tea gardens discover the beauty of ooty in nilgiris, tamil nadu. a perfect spot for hill station, nature, mountains, tea gardens. south india tamil nadu nilgiris"
Kodaikanal,Tamil Nadu,Dindigul,"Hill Station, Lake, Nature, Relaxation",Medium,5000,South India,"Discover the beauty of Kodaikanal in Dindigul, Tamil Nadu. A perfect spot for Hill Station, Lake, Nature, Relaxation.",https://picsum.photos/seed/Kodaikanal/800/500,https://www.google.com/maps/search/?api=1&query=Kodaikanal+Tamil Nadu,"hill station, lake, nature, relaxation discover the beauty of kodaikanal in dindigul, tamil nadu. a perfect spot for hill station, lake, nature, relaxation. south india tamil nadu dindigul"
Mahabalipuram,Tamil Nadu,Chengalpattu,"Heritage, Beach, History, Architecture",Low,2000,South India,"Discover the beauty of Mahabalipuram in Chengalpattu, Tamil Nadu. A perfect spot for Heritage, Beach, History, Architecture.",https://picsum.photos/seed/Mahabalipuram/800/500,https://www.google.com/maps/search/?api=1&query=Mahabalipuram+Tamil Nadu,"heritage, beach, history, architecture discover the beauty of mahabalipuram in chengalpattu, tamil nadu. a perfect spot for heritage, beach, history, architecture. south india tamil nadu chengalpattu"
Yercaud,Tamil Nadu,Salem,"Hill Station, Nature, Budget Friendly",Low,2000,South India,"Discover the beauty of Yercaud in Salem, Tamil Nadu. A perfect spot for Hill Station, Nature, Budget Friendly.",https://picsum.photos/seed/Yercaud/800/500,https://www.google.com/maps/search/?api=1&query=Yercaud+Tamil Nadu,"hill station, nature, budget friendly discover the beauty of yercaud in salem, tamil nadu. a perfect spot for hill station, nature, budget friendly. south india tamil nadu salem"
Marina Beach,Tamil Nadu,Chennai,"Beach, City, Landmark, Evening Walk",Low,2000,South India,"Discover the beauty of Marina Beach in Chennai, Tamil Nadu. A perfect spot for Beach, City, Landmark, Evening Walk.",https://picsum.photos/seed/MarinaBeach/800/500,https://www.google.com/maps/search/?api=1&query=Marina Beach+Tamil Nadu,"beach, city, landmark, evening walk discover the beauty of marina beach in chennai, tamil nadu. a perfect spot for beach, city, landmark, evening walk. south india tamil nadu chennai"
Rameshwaram,Tamil Nadu,Ramanathapuram,"Spiritual, Temple, Bridge, Sea",Low,2000,South India,"Discover the beauty of Rameshwaram in Ramanathapuram, Tamil Nadu. A perfect spot for Spiritual, Temple, Bridge, Sea.",https://picsum.photos/seed/Rameshwaram/800/500,https://www.google.com/maps/search/?api=1&query=Rameshwaram+Tamil Nadu,"spiritual, temple, bridge, sea discover the beauty of rameshwaram in ramanathapuram, tamil nadu. a perfect spot for spiritual, temple, bridge, sea. south india tamil nadu ramanathapuram"
Kanyakumari,Tamil Nadu,Kanyakumari,"Sunrise, Spiritual, Ocean, Landmark",Low,2000,South India,"Discover the beauty of Kanyakumari in Kanyakumari, Tamil Nadu. A perfect spot for Sunrise, Spiritual, Ocean, Landmark.",https://picsum.photos/seed/Kanyakumari/800/500,https://www.google.com/maps/search/?api=1&query=Kanyakumari+Tamil Nadu,"sunrise, spiritual, ocean, landmark discover the beauty of kanyakumari in kanyakumari, tamil nadu. a perfect spot for sunrise, spiritual, ocean, landmark. south india tamil nadu kanyakumari"
Munnar,Kerala,Idukki,"Nature, Tea Gardens, Mountains, Honeymoon",Medium,5000,South India,"Discover the beauty of Munnar in Idukki, Kerala. A perfect spot for Nature, Tea Gardens, Mountains, Honeymoon.",https://picsum.photos/seed/Munnar/800/500,https://www.google.com/maps/search/?api=1&query=Munnar+Kerala,"nature, tea gardens, mountains, honeymoon discover the beauty of munnar in idukki, kerala. a perfect spot for nature, tea gardens, mountains, honeymoon. south india kerala idukki"
Alleppey,Kerala,Alappuzha,"Nature, Backwaters, Houseboat, Relaxation",High,10000,South India,"Discover the beauty of Alleppey in Alappuzha, Kerala. A perfect spot for Nature, Backwaters, Houseboat, Relaxation.",https://picsum.photos/seed/Alleppey/800/500,https://www.google.com/maps/search/?api=1&query=Alleppey+Kerala,"nature, backwaters, houseboat, relaxation discover the beauty of alleppey in alappuzha, kerala. a perfect spot for nature, backwaters, houseboat, relaxation. south india kerala alappuzha"
Wayanad,Kerala,Wayanad,"Nature, Wildlife, Waterfall, Trekking",Medium,5000,South India,"Discover the beauty of Wayanad in Wayanad, Kerala. A perfect spot for Nature, Wildlife, Waterfall, Trekking.",https://picsum.photos/seed/Wayanad/800/500,https://www.google.com/maps/search/?api=1&query=Wayanad+Kerala,"nature, wildlife, waterfall, trekking discover the beauty of wayanad in wayanad, kerala. a perfect spot for nature, wildlife, waterfall, trekking. south india kerala wayanad"
